repository_name,repository_url,project_name,category,scorecard_score,criticality_score
e2nIEE/pandapower,https://github.com/e2nIEE/pandapower,pandapower,Other,6.4,0.55512
e2nIEE/simbench,https://github.com/e2nIEE/simbench,SimBench,Other,3.5,0.29066
ecmwf-projects/thermofeel,https://github.com/ecmwf-projects/thermofeel,Thermofeel,Other,2.9,0.30475
emma-model/EMMA,https://github.com/emma-model/EMMA,The Electricity Market Model EMMA,Other,1.4,0.1966
emoncms/emoncms,https://github.com/emoncms/emoncms,Emoncms,Other,4.8,0.53168
energy-modelling-toolkit/Dispa-SET,https://github.com/energy-modelling-toolkit/Dispa-SET,Dispa-SET,Other,3.7,0.37889
energyPATHWAYS/energyPATHWAYS,https://github.com/energyPATHWAYS/energyPATHWAYS,EnergyPATHWAYS,Modeling,2.8,0.31829
energywebfoundation/origin,https://github.com/energywebfoundation/origin,origin,Other,4.5,0.42453
flexiblepower/fpai-core,https://github.com/flexiblepower/fpai-core,EF-Pi,Platform,2.6,0.30546
flexiblepower/powermatcher,https://github.com/flexiblepower/powermatcher,PowerMatcher,Other,2.7,0.37171
foxBMS/foxbms-2,https://github.com/foxBMS/foxbms-2,foxBMS 2,Batteries,2.2,0.23852
fraukewiese/renpass,https://github.com/fraukewiese/renpass,renpass,Simulation,2.7,0.16419
frkunz/stELMOD,https://github.com/frkunz/stELMOD,stELMOD,Optimization,2.7,0.20922
greco-project/pvcompare,https://github.com/greco-project/pvcompare,pvcompare,Other,4.6,0.33738
gridsingularity/gsy-e,https://github.com/gridsingularity/gsy-e,Grid Singularity Energy Exchange Engine (D3A),Other,4.8,0.43945
gsoh/VED,https://github.com/gsoh/VED,Vehicle Energy Dataset,Other,2.6,0.18853
gurbyz/power-wheel-card,https://github.com/gurbyz/power-wheel-card,power-wheel-card,Other,2.5,0.2535
holgerteichgraeber/TimeSeriesClustering.jl,https://github.com/holgerteichgraeber/TimeSeriesClustering.jl,TimeSeriesClustering,Other,3.9,0.33723
hongyuanjia/eplusr,https://github.com/hongyuanjia/eplusr,eplusr,Other,3.1,0.27991
hubblo-org/scaphandre,https://github.com/hubblo-org/scaphandre,Scaphandre,Monitoring,3.6,0.41154
hydro-python/hydropowerlib,https://github.com/hydro-python/hydropowerlib,hydropowerlib,Other,3.0,0.23642
hyphae/APIS,https://github.com/hyphae/APIS,Hyphae,Other,6.0,0.32491
iat-cener/tonatiuh,https://github.com/iat-cener/tonatiuh,Tonatiuh,Other,2.5,0.30869
ie3-institute/PowerSystemDataModel,https://github.com/ie3-institute/PowerSystemDataModel,PowerSystemDataModel,Other,5.8,0.41875
iiasa/message_ix,https://github.com/iiasa/message_ix,MESSAGEix,Other,6.0,0.43411
intelligent-environments-lab/CityLearn,https://github.com/intelligent-environments-lab/CityLearn,CityLearn,Other,4.3,0.39657
jepegit/cellpy,https://github.com/jepegit/cellpy,cellpy,Batteries,2.6,0.43164
kdmayer/3D-PV-Locator,https://github.com/kdmayer/3D-PV-Locator,3D-PV-Locator,Other,1.8,0.23438
kdmayer/PV4GER,https://github.com/kdmayer/PV4GER,PV4GER,Other,1.8,0.23438
ladybug-tools/honeybee,https://github.com/ladybug-tools/honeybee,honeybee,Other,2.2,0.42453
lanl-ansi/GasModels.jl,https://github.com/lanl-ansi/GasModels.jl,GasModels.jl,Other,4.7,0.41548
lanl-ansi/PowerModels.jl,https://github.com/lanl-ansi/PowerModels.jl,PowerModels.jl,Optimization,5.0,0.44659
lanl-ansi/PowerModelsAnnex.jl,https://github.com/lanl-ansi/PowerModelsAnnex.jl,PowerModelsAnnex.jl,Other,3.2,0.41559
lanl/FEHM,https://github.com/lanl/FEHM,FEHM,Other,2.1,
lbl-srg/MPCPy,https://github.com/lbl-srg/MPCPy,MPCPy,Other,3.0,0.34541
lbl-srg/modelica-buildings,https://github.com/lbl-srg/modelica-buildings,Modelica Buildings library,Other,4.2,0.53435
leonardgoeke/AnyMOD.jl,https://github.com/leonardgoeke/AnyMOD.jl,AnyMOD.jl,Other,3.1,0.31229
lionsimbatoolbox/LIONSIMBA,https://github.com/lionsimbatoolbox/LIONSIMBA,LIONSIMBA,Other,2.6,0.21618
lkev/wtphm,https://github.com/lkev/wtphm,wtphm,Other,1.5,0.2069
lkev/wtphm,https://github.com/lkev/wtphm,wtphm,Other,1.5,0.2069
mancellin/capytaine,https://github.com/mancellin/capytaine,Capytaine,Other,4.4,0.43525
mdh266/NYCBuildingEnergyUse,https://github.com/mdh266/NYCBuildingEnergyUse,NYCBuildingEnergyUse,Other,1.8,0.24811
mobilityhouse/ocpp,https://github.com/mobilityhouse/ocpp,ocpp,Other,6.6,
nealde/Ampere,https://github.com/nealde/Ampere,Ampere,Other,1.8,0.2034
niclasmattsson/GlobalEnergyGIS,https://github.com/niclasmattsson/GlobalEnergyGIS,GlobalEnergyGIS,Other,2.6,0.22499
nilmtk/nilmtk,https://github.com/nilmtk/nilmtk,NILMTK,Monitoring,3.8,0.47164
nmstreethran/WindTurbineClassification,https://github.com/nmstreethran/WindTurbineClassification,WindTurbineClassification,Other,3.0,0.22141
oemof/DHNx,https://github.com/oemof/DHNx,DHNx,Other,3.8,0.33561
oemof/demandlib,https://github.com/oemof/demandlib,demandlib,Other,4.0,0.42382
oemof/feedinlib,https://github.com/oemof/feedinlib,feedinlib,Other,3.0,0.36899
oemof/oemof,https://github.com/oemof/oemof,Open Energy Modelling Framework (oemof),Modeling,3.0,0.43406
oemof/tespy,https://github.com/oemof/tespy,tespy,Other,5.1,0.46974
