repository_name,repository_url,project_name,category,scorecard_aggregate,criticality_score,scorecard_binary_artifacts,scorecard_branch_protection,scorecard_ci_tests,scorecard_cii_best_practices,scorecard_code_review,scorecard_contributors,scorecard_dangerous_workflow,scorecard_dependency_update_tool,scorecard_fuzzing,scorecard_license,scorecard_maintained,scorecard_packaging,scorecard_pinned_dependencies,scorecard_sast,scorecard_security_policy,scorecard_signed_releases,scorecard_token_permissions,scorecard_vulnerabilities
NREL/bifacial_radiance,https://github.com/NREL/bifacial_radiance,bifacial_radiance,Other,4.0,0.42066,7.0,0.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0,2.0,10.0,0.0,0.0,0.0,,0.0,3.0
NREL/bifacialvf,https://github.com/NREL/bifacialvf,bifacialvf,Other,4.0,0.3223,10.0,0.0,2.0,0.0,0.0,10.0,10.0,10.0,0.0,9.0,0.0,,0.0,0.0,0.0,,0.0,9.0
NREL/dgen,https://github.com/NREL/dgen,The Distributed Generation Market Demand (dGen) Model,Other,4.7,0.35633,10.0,6.0,10.0,0.0,10.0,6.0,10.0,0.0,0.0,10.0,10.0,,0.0,0.0,0.0,,0.0,0.0
NREL/hescore-hpxml,https://github.com/NREL/hescore-hpxml,HPXML to Home Energy Score Translator,Other,3.8,0.34509,10.0,6.0,0.0,0.0,2.0,6.0,10.0,0.0,0.0,10.0,0.0,,0.0,0.0,0.0,,0.0,10.0
NREL/rdtools,https://github.com/NREL/rdtools,rdtools,Other,5.9,0.41608,10.0,2.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0,10.0,8.0,10.0,0.0,0.0,0.0,,0.0,7.0
NREL/rdtools,https://github.com/NREL/rdtools,rdtools,Other,5.9,0.41608,10.0,2.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0,10.0,8.0,10.0,0.0,0.0,0.0,,0.0,7.0
NREL/reV,https://github.com/NREL/reV,reV,Other,5.1,0.45075,10.0,6.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,,0.0,10.0
NREL/reVX,https://github.com/NREL/reVX,reVX,Other,5.1,0.39482,10.0,6.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,,0.0,10.0
NREL/resstock,https://github.com/NREL/resstock,resstock,Other,4.2,0.50245,10.0,8.0,10.0,0.0,4.0,10.0,0.0,0.0,0.0,9.0,10.0,,0.0,0.0,0.0,,0.0,10.0
NewMotion/ocpp,https://github.com/NewMotion/ocpp,The Open Charge Point Protocol,Other,3.0,0.3111,10.0,0.0,0.0,0.0,3.0,6.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,10.0
OSUKED/ElexonDataPortal,https://github.com/OSUKED/ElexonDataPortal,ElexonDataPortal,Other,3.1,0.25741,10.0,3.0,,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.0
OSUKED/Power-Station-Dictionary,https://github.com/OSUKED/Power-Station-Dictionary,Power Station Dictionary,Other,2.8,0.2776,10.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,10.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.0
